,T2,RRR,PE,Q_HBV,Qobs,Q_DDM,Q_Total
2011-07-12,276.6697182865459,0.3223419189453125,0.9419059035161372,2.043110359188314,11.496049896049895,23.583424764004196,25.62653512319251
2011-07-13,278.100142626077,0.0896453857421875,1.100047884814412,1.9779036864093087,15.627442827442827,33.386514264058206,35.36441795046751
2011-07-14,277.75352660288394,1.0867118835449219,1.0617274066579452,1.8885014848700779,17.038788238788246,31.434101278998643,33.32260276386872
2011-07-15,276.3488986984739,5.862236022949219,0.9064373758248104,1.8004022991974387,15.627442827442827,22.00746157784386,23.8078638770413
2011-07-16,275.0108962034746,5.433082580566406,0.7585131831963617,1.7634592597144083,13.523255123255124,12.85297477099834,14.61643403071275
2011-07-17,275.61684695181424,3.662586212158203,0.8255046690536388,1.798822284735176,16.32028512028512,17.06032922845263,18.859151513187808
2011-07-18,276.0890410684531,4.895687103271484,0.8777085578571115,1.872157150460012,17.75729135729136,20.377054958620754,22.249212109080766
2011-07-19,276.9974196637958,1.903533935546875,0.9781352542341656,1.933843181293098,19.19429759429759,26.75610418425399,28.689947365547088
2011-07-20,277.16355324168904,1.4142990112304688,0.9965023166799971,1.953072410768079,17.75729135729136,28.037136994079173,29.990209404847253
2011-07-21,276.09399060465955,3.314971923828125,0.8782557587404859,1.9265584843210426,27.38010098010097,20.68873958167208,22.615298065993123
2011-07-22,276.2258961337145,0.22268295288085938,0.8928387053056894,1.876384299346494,21.375467775467765,21.69471379141825,23.571098090764742
2011-07-23,277.52303748345355,0.3871917724609375,1.0362454535010486,1.8181925132956243,21.375467775467765,30.96657823152312,32.78477074481874
2011-07-24,277.29861597228245,2.7627944946289062,1.0114343107920363,1.7529324315591832,23.60795960795961,29.486305349699307,31.239237781258492
2011-07-25,277.39582609195594,0.7653236389160156,1.022181471968312,1.6904467796619915,21.375467775467765,30.275918410313782,31.966365189975775
2011-07-26,275.0013930205467,5.5637359619140625,0.7574625493841932,1.6486436113470688,12.163231363231366,13.007815065257889,14.656458676604958
2011-07-27,273.45802677215187,1.1229515075683594,0.586834163355716,1.6388769612543619,9.494505494505496,3.359908575483136,4.998785536737498
2011-07-28,274.79263995320235,1.1119842529296875,0.7343836470196355,1.646326293270853,11.496049896049895,11.602684788296987,13.24901108156784
2011-07-29,275.3514901754031,3.299713134765625,0.7961678875036726,1.640424174087882,15.627442827442827,15.610632413640197,17.25105658772808
2011-07-30,276.0139008367705,4.043102264404297,0.8694013550326724,1.6221020771174115,16.32028512028512,20.444076498833578,22.06617857595099
2011-07-31,276.38473709199906,4.062175750732422,0.9103995249591558,1.6210623819772239,19.19429759429759,23.162362525864804,24.78342490784203
2011-08-01,275.57589491292407,3.2172203063964844,0.8209771757851599,1.6500204709499582,17.75729135729136,17.296306230504456,18.946326701454414
2011-08-02,274.6686617637933,6.2389373779296875,0.7206771153499155,1.6986556054007544,15.627442827442827,10.546981675972079,12.245637281372833
2011-08-03,274.97178614019657,1.0876655578613281,0.754189331368228,1.75284351603688,13.523255123255124,12.946574381082673,14.699417897119552
2011-08-04,276.15343687013325,0.3399848937988281,0.8848278995682035,1.7854086371248417,18.47579447579448,21.51757496513344,23.302983602258283
2011-08-05,277.08886654243327,0.5025863647460938,0.9882452545827393,1.7637461764825855,17.75729135729136,28.309377855010975,30.07312403149356
2011-08-06,276.66002723250284,0.052928924560546875,0.9408344994265364,1.6881627151386447,19.19429759429759,25.220321321399304,26.90848403653795
2011-08-07,277.4821459188758,0.25272369384765625,1.0317246460301472,1.5889841747341107,20.656964656964657,31.227168189185427,32.816152363919535
2011-08-08,277.0194927556902,2.0432472229003906,0.9805755667967276,1.4976361797198254,14.908939708939707,27.88487385936512,29.382510039084945
2011-08-09,274.9974191038587,6.323337554931641,0.7570232090841267,1.4453204629103023,6.3125631125631125,12.960145707100837,14.40546617001114
2011-08-10,274.6609638004794,5.0029754638671875,0.7198260593822726,1.4617984413290954,4.516305316305317,10.55513478304422,12.016933224373316
2011-08-11,273.3383919187839,8.713245391845703,0.5736078135089683,1.5534346408600515,2.797029997029997,2.435686754774779,3.9891213956348306
2011-08-12,273.50937602716016,7.380485534667969,0.5925111311622505,1.7020719608021162,2.797029997029997,3.2020322039335283,4.904104164735644
2011-08-13,274.206429226358,4.197597503662109,0.6695745388134267,1.8722617988840984,3.9261063261063254,6.98778525932289,8.860047058206987
2011-08-14,273.4609953931727,6.426334381103516,0.5871623621964275,2.0180112237015506,3.361568161568161,3.034203436369148,5.052214660070699
2011-08-15,274.6997255787453,0.7472038269042969,0.7241114062155224,2.109077130399563,5.1065043065043065,10.180512197640082,12.289589328039645
2011-08-16,275.3187869291068,2.635955810546875,0.7925523476800991,2.1357434319355826,8.211464211464211,14.500710029386378,16.63645346132196
2011-08-17,275.2574488945882,1.7099380493164062,0.7857710604497008,2.106233547696696,9.494505494505496,14.508185899823497,16.61441944752019
2011-08-18,274.967897911135,5.789756774902344,0.7537594643486722,2.058288042235793,9.494505494505496,12.652701702406253,14.710989744642045
2011-08-19,274.7927368417629,6.23774528503418,0.7343943586305255,2.0466436055207615,10.161686961686963,11.433757026647323,13.480400632168084
2011-08-20,275.8035960338419,1.385688781738281,0.8461508990018608,2.0924053997136975,10.803207603207602,18.7759139370443,20.868319336758
2011-08-21,275.43070253311697,0.3032684326171875,0.8049252882595094,2.145209666338883,10.803207603207602,16.204459137221306,18.34966880356019
2011-08-22,273.45503204323853,7.699489593505859,0.5865030781310607,2.1517705039406363,8.211464211464211,2.9594033070395662,5.111173810980203
2011-08-23,274.11203623401076,0.46825408935546875,0.6591388279422311,2.1326310151413805,12.163231363231366,6.678367118976005,8.810998134117385
2011-08-24,276.32876289481675,0.7014274597167969,0.9042112420843745,2.115546652135813,14.216097416097414,22.192739766658853,24.308286418794665
2011-08-25,276.72340268295534,4.210472106933594,0.947841035195855,2.0870454937863574,15.627442827442827,25.65298192176163,27.740027415547985
2011-08-26,276.2259643347271,1.9135475158691406,0.8928462453362666,2.0490159778368926,17.75729135729136,22.09669370734806,24.14570968518495
2011-08-27,275.2985500665225,7.533550262451172,0.7903150412697588,2.0320308752081733,16.32028512028512,15.187246642965953,17.219277518174124
2011-08-28,272.237654789844,13.844490051269531,0.4519147287029647,2.053481467105655,8.852984852984852,0.1327109584434382,2.1861924255490934
2011-08-29,272.4190875279011,10.844230651855469,0.4719732049717147,2.078846855212924,8.852984852984852,0.2718155302159968,2.3506623854289206
