,Qobs,DDM_total_melt,DDM_smb,Q_Total,Q_COSIPY,COSIPY_smb,COSIPY_melt
2011-08-15,5.1065043065043065,4.812,-4.707,7.783,14.585323272148404,-14.161997875690458,14.241332350348317
2011-08-16,8.211464211464211,5.749,-5.749,8.728,17.197159197392466,-16.13478459802716,17.06654519550353
2011-08-17,9.494505494505496,5.729,-5.729,8.649000000000001,17.18222030032311,-16.366803963259215,16.875618613972883
2011-08-18,9.494505494505496,5.424,-4.351,8.265,16.833265855263992,-13.368448912145565,16.22901363767053
2011-08-19,10.161686961686963,7.585,-6.326,10.391,20.19660387473545,-16.161684365237107,17.037159015519002
2011-08-20,10.803207603207602,14.963,-14.963,17.802999999999997,15.496007104484118,-14.536167210822104,14.925808333933869
2011-08-21,10.803207603207602,12.308,-12.308,15.190999999999999,11.991638276162314,-11.531294919502898,12.102961581092133
2011-08-22,8.211464211464211,0.0,7.7,2.872,0.9830368290226511,3.742211433378022,2.783332776657928
2011-08-23,12.163231363231366,3.38,-3.195,6.211,11.60297708431234,-10.727906075477877,11.272371032772666
2011-08-24,14.216097416097414,13.262,-13.262,16.055,13.511982324463629,-12.896596935206652,13.260457180085963
2011-08-25,15.627442827442827,18.867,-18.867,21.609,14.435802820067053,-12.186258438519936,12.507050077011396
2011-08-26,17.75729135729136,17.686,-17.686,20.368,14.623340318150062,-13.695629869431407,14.13677709319716
2011-08-27,16.32028512028512,9.473,-8.726,12.119,13.252312119613853,-7.066988287071378,12.097345015935216
2011-08-28,8.852984852984852,0.0,12.828,2.656,0.0,11.602172391545388,0.9233835079408961
2011-08-29,8.852984852984852,0.0,11.024,2.67,0.0,6.114867875021964,2.353391971714994
2011-08-30,8.211464211464211,0.0,1.755,2.62,0.0,-1.8665640777025916,3.10981985723396
2011-08-31,8.211464211464211,0.0,2.987,2.492,1.2779611240661155,-3.6671053460797887,5.439953454350761
2011-09-01,6.3125631125631125,0.761,4.251,3.108,5.908462005632117,-3.13558085950272,7.7711432278109225
2011-09-02,3.9261063261063254,1.641,-1.475,3.911,11.90594263995291,-13.696488787804943,13.935002836417448
2011-09-03,3.361568161568161,3.029,-1.111,5.34,13.445656880816722,-8.722417293124384,11.025420109255997
2011-09-04,3.361568161568161,1.845,-1.04,4.308,11.781408970275038,-11.490519089976136,11.774007322327831
